IDCNTRY;dvar;refpctile;comppctile;groupvar;refgroup;compgroup;gap;gap_se;cgap;cgap_se;gapdiff;gapdiff_se;gapdiff_t;weight;method;jk2type;shortcut;date;time;reps;npv;infile;selcrit
Azerbaijan, Republic of;BSMMAT0;   10,00;   50,00;BSBG01;Girl;Girl;136,381148;7,90020753047372;136,381148;7,90020753047372;0;0; ;TOTWGT;JRR;FULL;N;26-FEB-26;17h33m;250;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2023.sav;NONE
Azerbaijan, Republic of;BSMMAT0;   10,00;   50,00;BSBG01;Girl;Boy;136,381148;7,90020753047372;143,111368;6,98599765734031;6,73022000000001;9,25487131257964;,727208382773728;TOTWGT;JRR;FULL;N;26-FEB-26;17h33m;250;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2023.sav;NONE
Azerbaijan, Republic of;BSMMAT0;   10,00;   50,00;BSBG01;Boy;Girl;143,111368;6,98599765734031;136,381148;7,90020753047372;-6,73022000000001;9,25487131257964;-,727208382773728;TOTWGT;JRR;FULL;N;26-FEB-26;17h33m;250;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2023.sav;NONE
Azerbaijan, Republic of;BSMMAT0;   10,00;   50,00;BSBG01;Boy;Boy;143,111368;6,98599765734031;143,111368;6,98599765734031;0;0; ;TOTWGT;JRR;FULL;N;26-FEB-26;17h33m;250;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2023.sav;NONE
Azerbaijan, Republic of;BSMMAT0;   10,00;   90,00;BSBG01;Girl;Girl;258,430328;8,50335611779928;258,430328;8,50335611779928;0;0; ;TOTWGT;JRR;FULL;N;26-FEB-26;17h33m;250;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2023.sav;NONE
Azerbaijan, Republic of;BSMMAT0;   10,00;   90,00;BSBG01;Girl;Boy;258,430328;8,50335611779928;269,775772;9,23176235480281;11,345444;9,19563577684197;1,23378570827828;TOTWGT;JRR;FULL;N;26-FEB-26;17h33m;250;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2023.sav;NONE
Azerbaijan, Republic of;BSMMAT0;   10,00;   90,00;BSBG01;Boy;Girl;269,775772;9,23176235480281;258,430328;8,50335611779928;-11,345444;9,19563577684197;-1,23378570827828;TOTWGT;JRR;FULL;N;26-FEB-26;17h33m;250;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2023.sav;NONE
Azerbaijan, Republic of;BSMMAT0;   10,00;   90,00;BSBG01;Boy;Boy;269,775772;9,23176235480281;269,775772;9,23176235480281;0;0; ;TOTWGT;JRR;FULL;N;26-FEB-26;17h33m;250;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2023.sav;NONE
Azerbaijan, Republic of;BSMMAT0;   50,00;   90,00;BSBG01;Girl;Girl;122,04918;6,65584430191692;122,04918;6,65584430191692;0;0; ;TOTWGT;JRR;FULL;N;26-FEB-26;17h33m;250;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2023.sav;NONE
Azerbaijan, Republic of;BSMMAT0;   50,00;   90,00;BSBG01;Girl;Boy;122,04918;6,65584430191692;126,664404;7,24506965709832;4,61522400000001;8,13240712877592;,567510200475501;TOTWGT;JRR;FULL;N;26-FEB-26;17h33m;250;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2023.sav;NONE
Azerbaijan, Republic of;BSMMAT0;   50,00;   90,00;BSBG01;Boy;Girl;126,664404;7,24506965709832;122,04918;6,65584430191692;-4,61522400000001;8,13240712877592;-,567510200475501;TOTWGT;JRR;FULL;N;26-FEB-26;17h33m;250;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2023.sav;NONE
Azerbaijan, Republic of;BSMMAT0;   50,00;   90,00;BSBG01;Boy;Boy;126,664404;7,24506965709832;126,664404;7,24506965709832;0;0; ;TOTWGT;JRR;FULL;N;26-FEB-26;17h33m;250;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2023.sav;NONE
Australia;BSMMAT0;   10,00;   50,00;BSBG01;Girl;Girl;117,879348;7,22915540416817;117,879348;7,22915540416817;0;0; ;TOTWGT;JRR;FULL;N;26-FEB-26;17h33m;250;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2023.sav;NONE
Australia;BSMMAT0;   10,00;   50,00;BSBG01;Girl;Boy;117,879348;7,22915540416817;128,371548;6,14801376175455;10,4922;8,3103203091571;1,2625506129335;TOTWGT;JRR;FULL;N;26-FEB-26;17h33m;250;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2023.sav;NONE
Australia;BSMMAT0;   10,00;   50,00;BSBG01;Girl;<Other>;117,879348;7,22915540416817;137,969844;30,0278853507526;20,090496;29,188442207506;,68830312550334;TOTWGT;JRR;FULL;N;26-FEB-26;17h33m;250;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2023.sav;NONE
Australia;BSMMAT0;   10,00;   50,00;BSBG01;Boy;Girl;128,371548;6,14801376175455;117,879348;7,22915540416817;-10,4922;8,3103203091571;-1,2625506129335;TOTWGT;JRR;FULL;N;26-FEB-26;17h33m;250;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2023.sav;NONE
Australia;BSMMAT0;   10,00;   50,00;BSBG01;Boy;Boy;128,371548;6,14801376175455;128,371548;6,14801376175455;0;0; ;TOTWGT;JRR;FULL;N;26-FEB-26;17h33m;250;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2023.sav;NONE
Australia;BSMMAT0;   10,00;   50,00;BSBG01;Boy;<Other>;128,371548;6,14801376175455;137,969844;30,0278853507526;9,59829599999999;30,0590234499018;,319314964306712;TOTWGT;JRR;FULL;N;26-FEB-26;17h33m;250;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2023.sav;NONE
Australia;BSMMAT0;   10,00;   50,00;BSBG01;<Other>;Girl;137,969844;30,0278853507526;117,879348;7,22915540416817;-20,090496;29,188442207506;-,68830312550334;TOTWGT;JRR;FULL;N;26-FEB-26;17h33m;250;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2023.sav;NONE
